Product Name,Region,Sales,Profit,Discount,Category,Date
Samsung Convoy 3,Central US,221.98,62.15,0,Technology,11/13/2014
"Novimex Executive Leather Armchair, Black",Oceania,3709.4,-288.77,0.1,Furniture,02-07-2014
"Nokia Smart Phone, with Caller ID",Oceania,5175.17,919.97,0.1,Technology,10/18/2014
"Motorola Smart Phone, Cordless",Western Europe,2892.51,-96.54,0.1,Technology,1/30/2014
"Sharp Wireless Fax, High-Speed",Western Africa,2832.96,311.52,0,Technology,11-06-2014
"Samsung Smart Phone, with Caller ID",Oceania,2862.68,763.28,0.1,Technology,07-01-2014
"Novimex Executive Leather Armchair, Adjustable",Oceania,1822.08,564.84,0,Furniture,11-08-2012
"Chromcraft Conference Table, Fully Assembled",Oceania,5244.84,996.48,0,Furniture,4/18/2013
"Sauder Facets Collection Library, Sky Alder Finish",Central US,341.96,54.71,0,Furniture,11/13/2014
"Global Push Button Manager's Chair, Indigo",Western US,48.71,5.48,0.2,Furniture,03-07-2012
Newell 330,Western US,17.94,4.66,0,Office Supplies,03-07-2012
"Bevis Conference Table, Fully Assembled",Southern Asia,4626.15,647.55,0,Furniture,4/22/2013
"Cisco Smart Phone, with Caller ID",Western Asia,2616.96,1151.4,0,Technology,12/28/2012
"Harbour Creations Executive Leather Armchair, Adjustable",South America,2221.8,622.02,0,Furniture,11/13/2013
"KitchenAid Microwave, White",Eastern Asia,3701.52,1036.08,0,Office Supplies,06-08-2014
"Breville Refrigerator, Red",Western Europe,1869.59,186.95,0.1,Office Supplies,08-03-2015
Akro Stacking Bins,Central US,12.62,-2.52,0.2,Office Supplies,2/25/2012
"Hoover Stove, Red",Southern Europe,7958.58,3979.08,0,Office Supplies,9/14/2015
"Brother Fax Machine, High-Speed",Oceania,2565.59,28.4,0.1,Technology,02-01-2015
"KitchenAid Stove, White",Eastern Africa,3409.74,818.28,0,Office Supplies,12-07-2015
"Hon Computer Table, with Bottom Storage",Eastern Europe,1977.72,276.84,0,Furniture,08-10-2013
"Carina 42""Hx23 3/4""W Media Storage Unit",Western US,242.94,4.86,0,Office Supplies,03-07-2012
"SAFCO Executive Leather Armchair, Black",Eastern Asia,2754,358.02,0,Furniture,05-02-2012
"KitchenAid Refrigerator, Black",Northern Europe,5273.7,1898.4,0,Office Supplies,03-01-2014
"Motorola Smart Phone, Full Size",Central America,1713.84,445.52,0,Technology,08-01-2015
"Hon Computer Table, Fully Assembled",Central America,2106.5,526.5,0.2,Furniture,09-08-2015
"Lesro Conference Table, with Bottom Storage",Eastern Asia,1715.16,720.36,0,Furniture,12/19/2012
"Hoover Stove, Red",Western Europe,3069.74,1364.24,0.1,Office Supplies,3/16/2012
Staples,Eastern US,247.84,121.44,0,Office Supplies,4/23/2012
"Office Star Executive Leather Armchair, Red",Southern Asia,1878.72,582.36,0,Furniture,2/24/2013
"Samsung Smart Phone, VoIP",Caribbean,1696.64,-148.46,0.2,Technology,12/29/2012
"Okidata Inkjet, Wireless",Western Europe,2402.87,763.16,0.15,Technology,7/19/2013
Geemarc AmpliPOWER60,Western US,668.16,75.17,0.2,Technology,12/31/2013
"Breville Stove, Red",Oceania,2526.93,561.48,0.1,Office Supplies,11-04-2012
Fellowes Super Stor/Drawer Files,Western US,323.1,61.39,0,Office Supplies,12/31/2013
"Apple Smart Phone, Full Size",Central Africa,3817.26,1068.66,0,Technology,9/14/2012
"Iceberg Nesting Folding Chair, 19w x 6d x 43h",Western US,279.46,20.96,0.2,Furniture,5/18/2012
"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 10/Pack",Eastern US,34.77,11.47,0,Technology,12/31/2012
"Brother Fax Machine, Laser",Northern Europe,4141.02,1697.67,0,Technology,1/18/2015
"Nokia Smart Phone, with Caller ID",Oceania,2875.1,511.1,0.1,Technology,01-11-2012
"Motorola Smart Phone, Full Size",Southeastern Asia,3200.6,-77.2,0.17,Technology,8/26/2014
"Motorola Smart Phone, with Caller ID",Southern Asia,4518.78,632.52,0,Technology,11/15/2015
"Sauder Classic Bookcase, Traditional",Southern Asia,5667.87,2097.03,0,Furniture,9/28/2015
"Motorola Smart Phone, Cordless",Northern Europe,5785.02,404.73,0,Technology,12/17/2013
"Cuisinart Stove, Silver",Western Europe,3018.62,377.24,0.2,Office Supplies,9/24/2012
"Eldon Image Series Desk Accessories, Ebony",Southern US,86.45,38.04,0,Furniture,3/26/2014
"Office Star Executive Leather Armchair, Adjustable",Western Europe,2092.5,720.75,0.1,Furniture,03-08-2014
"Novimex Executive Leather Armchair, Red",Eastern Asia,2761.2,110.34,0,Furniture,8/29/2015
"Konica Inkjet, White",Southern Asia,2174.13,500.01,0,Technology,05-01-2015
"Harbour Creations Executive Leather Armchair, Black",South America,3473.14,868.12,0,Furniture,12/20/2015
GBC VeloBind Cover Sets,Western US,49.41,18.53,0.2,Office Supplies,10/27/2012
"Canon Copy Machine, Color",Southern Asia,2108.64,527.04,0,Technology,9/21/2015
Avery 51,Eastern US,18.9,8.69,0,Office Supplies,12/31/2012
"Safco Classic Bookcase, Pine",Eastern Asia,2197.5,153.75,0,Furniture,12/19/2012
"Motorola Smart Phone, with Caller ID",Eastern Africa,2582.16,593.88,0,Technology,12/18/2014
"Hewlett Wireless Fax, Color",Southern Asia,1526.52,732.72,0,Technology,5/31/2013
"ACCOHIDE 3-Ring Binder, Blue, 1""",Eastern US,9.91,3.35,0.2,Office Supplies,4/23/2012
"Chromcraft Conference Table, with Bottom Storage",Southern Asia,1745.34,226.86,0,Furniture,5/28/2013
"Breville Refrigerator, White",Oceania,4191.51,1164.27,0.1,Office Supplies,08-06-2015
EcoTones Memo Sheets,Western US,8,3.84,0,Office Supplies,5/18/2012
"Safco Classic Bookcase, Metal",Southern Asia,3063.27,581.91,0,Furniture,3/13/2015
Avery Fluorescent Highlighter Four-Color Set,Eastern US,18.7,2.34,0.2,Office Supplies,12/23/2015
"Samsung Smart Phone, Cordless",Western Europe,4473,313.11,0,Technology,8/16/2015
"Apple Audio Dock, with Caller ID",Western Europe,1502.01,225.18,0,Technology,09-03-2014
"SAFCO Executive Leather Armchair, Black",Eastern Asia,5049,656.37,0,Furniture,1/23/2015
Cisco CP-7937G Unified IP Conference Station Phone,Southern US,695.7,-27.83,0.5,Technology,01-05-2015
"Safco Classic Bookcase, Metal",Southern Europe,2188.05,1050.15,0,Furniture,12-08-2015
"Chromcraft Wood Table, Rectangular",Southern Asia,1920.36,652.92,0,Furniture,12/19/2015
"Samsung Smart Phone, Cordless",Central America,1704,119.28,0,Technology,11/20/2015
"Chromcraft Round Table, Rectangular",Eastern Europe,1858.68,130.08,0,Furniture,11-10-2012
"Harbour Creations Executive Leather Armchair, Adjustable",Eastern Asia,3298.26,1055.25,0,Furniture,06-09-2014
"Hamilton Beach Microwave, Black",Central America,2443.48,121.94,0,Office Supplies,11/22/2012
"Harbour Creations Executive Leather Armchair, Adjustable",Central Africa,3808.8,1523.52,0,Furniture,3/31/2014
"Bevis Conference Table, with Bottom Storage",Southeastern Asia,3427.15,-452.81,0.47,Furniture,8/27/2015
"Nokia Smart Phone, Full Size",Northern Europe,3441.69,38.07,0.1,Technology,9/22/2013
"Apple Smart Phone, Cordless",Oceania,2863.35,858.9,0.1,Technology,5/18/2015
Bady BDG101FRU Card Printer,Central US,1439.98,-264,0.4,Technology,08-08-2015
"Brother Ink, Color",Western Europe,1487.4,728.7,0,Technology,11/25/2014
"Sharp Wireless Fax, Digital",Eastern Asia,3200.04,1183.95,0,Technology,11-10-2012
"Novimex Executive Leather Armchair, Red",Southern Asia,2301,91.95,0,Furniture,10/27/2012
"Hon Executive Leather Armchair, Adjustable",Western Europe,5729.35,63.55,0.1,Furniture,11/23/2015
"Canon Wireless Fax, Laser",North Africa,5301.24,2597.28,0,Technology,10/30/2015
"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Western US,477.67,84.29,0.15,Furniture,9/28/2014
"Avery Trapezoid Extra Heavy Duty 4"" Binders",Western US,88.07,-58.72,0.7,Office Supplies,09-06-2015
"Motorola Smart Phone, Full Size",Western Europe,3219.9,965.85,0,Technology,02-05-2014
"Hamilton Beach Refrigerator, Black",Southeastern Asia,2487.81,-269.79,0.17,Office Supplies,9/21/2013
"Hoover Stove, White",North Africa,2266.44,113.28,0,Office Supplies,11/23/2014
"Brother Wireless Fax, Laser",Oceania,3068.36,1124.9,0.1,Technology,6/13/2013
"Ikea Classic Bookcase, Mobile",Southern Asia,3728.43,1192.86,0,Furniture,10/31/2014
"Canon Copy Machine, Color",Eastern Asia,1581.48,0,0,Technology,12/14/2014
"Nokia Smart Phone, with Caller ID",Southern Asia,1916.73,498.33,0,Technology,5/28/2013
"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Western US,171.29,-6.42,0.2,Furniture,10-09-2015
"Hamilton Beach Stove, White",Western Europe,2432.16,513.36,0.1,Office Supplies,12-02-2014
Avery Recycled Flexi-View Covers for Binding Systems,Southern US,28.85,-21.16,0.7,Office Supplies,01-05-2015
"Office Star Executive Leather Armchair, Red",Southeastern Asia,2465.82,197.19,0.25,Furniture,1/30/2014
"Bevis Conference Table, with Bottom Storage",Oceania,1847.52,738.96,0,Furniture,05-07-2013
"Ikea Classic Bookcase, Mobile",Western Europe,2899.89,927.78,0,Furniture,11/29/2014
"SAFCO Executive Leather Armchair, Black",Oceania,2891.7,96.39,0.1,Furniture,12-02-2013
"Panasonic Printer, Red",Western Europe,2016.85,-0.05,0.15,Technology,9/29/2013
"Hamilton Beach Refrigerator, Silver",Western Europe,3155.54,34.94,0.1,Office Supplies,09-05-2014
"Motorola Smart Phone, Full Size",Central Africa,3856.14,1465.2,0,Technology,08-01-2014
"Cisco Smart Phone, Full Size",Oceania,3524.47,861.37,0.1,Technology,11/25/2015
"Samsung Smart Phone, Full Size",Western Europe,2167.3,790.42,0.15,Technology,6/19/2013
"Samsung Smart Phone, Cordless",Central America,2556,178.92,0,Technology,10/14/2013
"Sharp Fax Machine, High-Speed",Western Europe,1469.25,308.4,0,Technology,08-10-2012
"Cisco Smart Phone, with Caller ID",Western Europe,4448.83,1517.71,0.15,Technology,11-08-2012
Xerox 1956,Eastern US,65.78,32.23,0,Office Supplies,08-01-2012
"Dania Classic Bookcase, Pine",South America,2472.66,914.76,0,Furniture,4/28/2014
"Breville Refrigerator, Red",Oceania,3739.18,747.82,0.1,Office Supplies,12/26/2014
"Office Star Executive Leather Armchair, Black",Western Europe,2570.87,-2211.17,0.5,Furniture,3/13/2014
Hanging Personal Folder File,Southern US,31.4,7.85,0,Office Supplies,04-01-2014
"Apple Smart Phone, with Caller ID",Western Europe,2875.77,-1783.08,0.5,Technology,04-05-2013
"Sauder Classic Bookcase, Metal",Southern Europe,1741.8,261.24,0,Furniture,12/28/2013
"Sharp Wireless Fax, Laser",Oceania,1601.64,587.19,0.1,Technology,4/19/2014
"Hoover Refrigerator, White",Eastern Asia,3670.8,367.08,0,Office Supplies,5/25/2012
Xerox 1998,Central US,36.29,12.7,0.2,Office Supplies,08-08-2015
"Hewlett Wireless Fax, Laser",Western Europe,1900.95,589.2,0,Technology,5/20/2014
"Avery 3 1/2"" Diskette Storage Pages, 10/Pack",Southern US,15.66,-12.53,0.7,Office Supplies,01-05-2015
"SAFCO Executive Leather Armchair, Black",Western Europe,4544.1,1868.13,0.1,Furniture,2/19/2012
"Bush Library with Doors, Metal",Eastern Asia,1455.12,116.4,0,Furniture,06-02-2014
"HP Wireless Fax, Digital",Oceania,1943.19,258.93,0.1,Technology,10-02-2014
Hon 5100 Series Wood Tables,Western US,2036.86,366.63,0,Furniture,11/14/2015
GBC DocuBind P400 Electric Binding System,Eastern US,4355.17,1415.43,0.2,Office Supplies,09-04-2014
"Canon Wireless Fax, High-Speed",Oceania,1695.87,-37.83,0.1,Technology,12/14/2014
"Sharp Fax Machine, Digital",Western Europe,1505.98,-265.76,0.15,Technology,3/21/2015
"Cisco Smart Phone, Full Size",Southeastern Asia,1954.17,312.66,0,Technology,12/20/2015
Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,Western US,449.57,-73.05,0.2,Furniture,11/14/2015
"Eureka The Boss Lite 10-Amp Upright Vacuum, Blue",Southern US,160.32,44.89,0,Office Supplies,3/19/2014
SanDisk Cruzer 64 GB USB Flash Drive,Western US,108.96,32.69,0,Technology,11/14/2015
"Brother Copy Machine, Color",South America,1213.19,508.01,0.002,Technology,9/18/2015
"Hewlett Fax Machine, High-Speed",Southern Asia,1590.6,572.55,0,Technology,11/27/2014
"Belkin Router, USB",Eastern Asia,2330.64,1025.46,0,Technology,11-10-2014
"Safco Classic Bookcase, Mobile",Southeastern Asia,3278.58,140.82,0.07,Furniture,7/23/2015
"Motorola Smart Phone, Full Size",Southeastern Asia,3741.52,946.63,0.17,Technology,8/16/2013
Strathmore Photo Mount Cards,Central US,67.8,31.19,0,Office Supplies,11-08-2015
"Safco Library with Doors, Pine",Southeastern Asia,3637.6,156.4,0.07,Furniture,1/14/2013
"Hoover Refrigerator, Red",Central America,2455.88,785.82,0,Office Supplies,1/30/2014
"StarTech Printer, Wireless",Eastern Asia,1024.68,-286.92,0.5,Technology,6/17/2013
Staples,Central US,167.94,82.29,0,Office Supplies,11-08-2015
Xerox 1881,Eastern US,24.56,11.54,0,Office Supplies,09-04-2014
"Memorex Router, Bluetooth",South America,2297.96,988.12,0,Technology,12-08-2013
"Hewlett Wireless Fax, Color",Southern Europe,2671.41,534.24,0,Technology,09-07-2014
"Samsung Smart Phone, Cordless",Eastern Africa,3834,268.38,0,Technology,9/20/2015
Xerox 1881,Eastern US,49.12,23.09,0,Office Supplies,09-04-2014
"KitchenAid Refrigerator, Black",Southeastern Asia,3501.74,210.86,0.17,Office Supplies,08-08-2013
"Apple Smart Phone, with Caller ID",Oceania,1725.46,747.61,0.1,Technology,12-11-2015
"Brother Fax Machine, High-Speed",Eastern Asia,1583.7,174.15,0,Technology,10/28/2013
Logitech G600 MMO Gaming Mouse,Western US,79.99,28.8,0,Technology,5/13/2015
"Safco Classic Bookcase, Traditional",Oceania,2760.35,-214.73,0.1,Furniture,8/29/2014
"Belkin Router, Erganomic",Southern Asia,3078.72,523.08,0,Technology,5/16/2012
"Hoover Stove, White",Western Europe,1983.14,-1784.9,0.5,Office Supplies,11-05-2012
"Bush Classic Bookcase, Metal",Western Europe,1112.78,296.66,0.1,Furniture,08-03-2015
"HP Wireless Fax, Color",Western Europe,3616.5,36,0,Technology,9/21/2012
"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",Southern US,127.88,40.92,0,Furniture,3/19/2014
"Motorola Smart Phone, Full Size",Oceania,2892.11,160.61,0.1,Technology,3/15/2014
"Cisco Smart Phone, Full Size",Western Europe,3263.4,848.4,0,Technology,02-04-2013
Ibico Covers for Plastic or Wire Binding Elements,Southern US,46,20.7,0,Office Supplies,3/19/2014
"Lesro Round Table, Rectangular",Central America,3117.09,38.95,0.2,Furniture,4/13/2015
Acme Forged Steel Scissors with Black Enamel Handles,Eastern US,27.93,8.1,0,Office Supplies,09-04-2014
"Hoover Stove, White",Central America,1888.7,887.6,0,Office Supplies,3/21/2015
"Hamilton Beach Refrigerator, Red",Eastern Asia,3000.78,1080.18,0,Office Supplies,10-04-2014
"Hamilton Beach Stove, Silver",Southern Europe,3801.63,1444.59,0,Office Supplies,1/15/2014
"Cisco Smart Phone, Full Size",Western Asia,5211.12,1146.24,0,Technology,8/25/2015
"Lesro Round Table, with Bottom Storage",Eastern Asia,1356.03,311.85,0,Furniture,12/19/2012
"Hoover Stove, White",Oceania,3569.64,674.16,0.1,Office Supplies,3/18/2015
"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",Western US,18.54,8.71,0,Office Supplies,9/24/2013
"Safco Library with Doors, Pine",Southeastern Asia,2910.08,125.12,0.07,Furniture,7/13/2015
"Harbour Creations Executive Leather Armchair, Red",Southeastern Asia,3126.4,-128.72,0.27,Furniture,6/15/2014
"Cisco Smart Phone, Cordless",Northern Europe,5276.99,1758.89,0.1,Technology,8/16/2012
"Samsung Smart Phone, Full Size",Southeastern Asia,2645.38,-0.02,0.17,Technology,3/21/2015
"Bush Library with Doors, Metal",Oceania,1637.01,-36.39,0.1,Furniture,01-03-2014
Acco Hanging Data Binders,Eastern US,3.05,1.07,0.2,Office Supplies,09-04-2014
"Samsung Smart Phone, Full Size",Southeastern Asia,2645.38,-0.02,0.17,Technology,10-11-2013
Sabrent 4-Port USB 2.0 Hub,Eastern US,6.79,2.31,0,Technology,09-04-2014
"Bevis Conference Table, Fully Assembled",Eastern Asia,3238.31,-740.3,0.3,Furniture,6/18/2012
"Bush Library with Doors, Metal",Northern Europe,2291.81,127.13,0.1,Furniture,04-05-2015
"Nokia Smart Phone, Full Size",Central America,2124.5,488.6,0,Technology,5/19/2012
"Hon Executive Leather Armchair, Adjustable",Eastern Europe,2757.78,744.48,0,Furniture,2/15/2015
"Enermax Router, Bluetooth",Southern Europe,1549.98,139.32,0,Technology,10-12-2014
Xerox 231,Eastern US,20.74,7.26,0.2,Office Supplies,9/22/2015
"Hoover Refrigerator, White",Eastern Europe,3146.4,629.28,0,Office Supplies,7/19/2015
"Epson Printer, Durable",Western Europe,2456.62,664.72,0.15,Technology,11/28/2015
"Hon Computer Table, Adjustable Height",Western Europe,2228.64,-754.41,0.35,Furniture,06-01-2012
"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",Central US,4.41,2.03,0,Office Supplies,11-08-2015
"Hamilton Beach Refrigerator, Red",Southern Asia,4001.04,1440.24,0,Office Supplies,7/20/2015
"Apple Smart Phone, Full Size",Western Europe,4876.88,745.88,0.15,Technology,09-03-2015
"Lesro Computer Table, Adjustable Height",Oceania,1788.82,204.28,0.3,Furniture,12/26/2013
"Breville Refrigerator, White",Southern Asia,3622.29,1267.77,0,Office Supplies,11/15/2015
"Lesro Wood Table, Fully Assembled",Southeastern Asia,1242.59,-140.72,0.47,Furniture,05-04-2014
"Nokia Smart Phone, Cordless",Northern Europe,4453.05,1424.85,0,Technology,8/20/2012
"Hon Training Table, Fully Assembled",Southeastern Asia,2673.36,1069.2,0,Furniture,12-07-2015
"Hon Executive Leather Armchair, Adjustable",Oceania,2046.2,591.05,0.1,Furniture,6/29/2014
"Barricks Conference Table, Fully Assembled",Northern Europe,5451.3,2071.44,0,Furniture,1/24/2014
"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",Eastern US,637.9,-127.58,0.3,Furniture,10/25/2015
"Breville Refrigerator, Black",Southeastern Asia,1722.28,539.44,0.17,Office Supplies,7/14/2015
Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Eastern US,210.68,50.56,0,Furniture,10/25/2015
"Breville Stove, White",Western Europe,1007.42,134.3,0.1,Office Supplies,09-01-2015
KI Adjustable-Height Table,Eastern US,240.74,-13.76,0.3,Furniture,10/25/2015
"KitchenAid Stove, Silver",Oceania,4624.29,1644.03,0.1,Office Supplies,06-10-2012
"Smead Lockers, Wire Frame",Western Europe,1066.45,-11.93,0.1,Office Supplies,10-12-2012
"Sharp Copy Machine, High-Speed",Eastern Asia,957.6,0,0,Technology,06-10-2014
"Hamilton Beach Stove, White",Oceania,4864.32,162.12,0.1,Office Supplies,12/17/2015
GBC DocuBind 300 Electric Binding Machine,Eastern US,841.57,294.55,0.2,Office Supplies,9/21/2014
"Breville Stove, Silver",Southeastern Asia,1433.84,-84.37,0.15,Office Supplies,06-11-2015
"Smead Lockers, Industrial",Southern Africa,2784.6,779.52,0,Office Supplies,2/16/2012
"Safco Classic Bookcase, Metal",Southern Europe,3063.27,1470.21,0,Furniture,12-04-2014
Premier Electric Letter Opener,Western US,231.72,11.59,0,Office Supplies,6/27/2014
"Howard Miller 12"" Round Wall Clock",Western US,196.45,70.72,0,Furniture,4/19/2015
"Samsung Smart Phone, Cordless",Caribbean,2044.8,-332.28,0.2,Technology,08-08-2012
WD My Passport Ultra 1TB Portable External Hard Drive,Central US,165.6,-6.21,0.2,Technology,12/22/2014
"Brother Wireless Fax, Color",Eastern Asia,1521,0,0,Technology,08-04-2013
"Hamilton Beach Stove, Silver",Western Europe,2443.91,760.31,0.1,Office Supplies,6/19/2013
"Fellowes File Cart, Blue",Canada,137.31,54.9,0,Office Supplies,04-12-2015
"Epson Receipt Printer, Red",Southern Asia,1141.8,570.9,0,Technology,08-02-2014
"Fellowes Lockers, Blue",Southern Asia,1865.97,802.17,0,Office Supplies,5/25/2015
"Samsung Smart Phone, VoIP",Eastern Asia,6998.64,2939.31,0,Technology,2/15/2012
"Dania Library with Doors, Pine",Southern Europe,1091.25,119.97,0,Furniture,9/27/2014
"Ikea Library with Doors, Pine",Southern Asia,1094.22,328.23,0,Furniture,06-04-2015
"Bush Library with Doors, Mobile",Oceania,1320.62,484.22,0.1,Furniture,10-03-2014
"Nokia Smart Phone, with Caller ID",Southeastern Asia,2555.64,664.44,0,Technology,7/19/2012
"Sauder Classic Bookcase, Pine",Eastern Europe,3498.72,594.72,0,Furniture,8/16/2015
"Eldon 400 Class Desk Accessories, Black Carbon",Eastern US,35,14.7,0,Furniture,10/25/2015
"Brother Wireless Fax, Laser",Eastern Asia,2272.86,977.22,0,Technology,11-03-2015
"Cisco Smart Phone, Full Size",Eastern Asia,5211.12,833.76,0,Technology,7/30/2014
"Motorola Smart Phone, with Caller ID",Southern Asia,2582.16,361.44,0,Technology,10-11-2015
"Nokia Smart Phone, with Caller ID",Southern Asia,3194.55,830.55,0,Technology,10/21/2015
"Harbour Creations Executive Leather Armchair, Black",Oceania,1705,378.88,0.1,Furniture,12-06-2014
"Breville Microwave, Red",Southeastern Asia,1538.72,325.7,0.15,Office Supplies,11-10-2015
"Novimex Executive Leather Armchair, Adjustable",Eastern Asia,1381.32,593.91,0,Furniture,06-10-2014
"Safco Classic Bookcase, Metal",Western Europe,1181.55,498.81,0.1,Furniture,9/22/2012
"Harbour Creations Executive Leather Armchair, Adjustable",Western Europe,1696.25,734.93,0.1,Furniture,6/23/2012
Compact Automatic Electric Letter Opener,Eastern US,190.9,-42.95,0.2,Office Supplies,9/29/2015
Office Star - Mesh Screen back chair with Vinyl seat,Southern US,314.35,-35.36,0.2,Furniture,5/25/2015
"Hoover Microwave, Silver",Southern Africa,1237.56,606.36,0,Office Supplies,11/29/2015
"Nokia Smart Phone, Full Size",North Africa,1274.7,140.16,0,Technology,04-01-2013
"KitchenAid Refrigerator, Silver",South America,3172.14,856.44,0,Office Supplies,11/14/2012
"Wirebound Message Book, 4 per Page",Eastern US,43.44,21.29,0,Office Supplies,10/25/2015
"Hoover Stove, Red",Northern Europe,3979.29,1989.54,0,Office Supplies,08-06-2013
Xerox 214,Central US,51.84,18.14,0.2,Office Supplies,12/22/2014
OIC Binder Clips,Western US,17.9,8.95,0,Office Supplies,6/27/2014
"Ampad Phone Message Book, Recycled, 400 Message Capacity, 5 ¾” x 11”",Western US,12.48,5.62,0,Office Supplies,6/27/2014
"Barricks Wood Table, Rectangular",Western Asia,2058,946.68,0,Furniture,1/27/2014
"Sauder Library with Doors, Mobile",Southeastern Asia,2539.88,709.94,0.07,Furniture,5/24/2012
"Bush Classic Bookcase, Pine",Northern Europe,2898.21,1420.02,0,Furniture,10-01-2015
"Konica Inkjet, White",Western Europe,1320.01,357.16,0.15,Technology,11-07-2012
"Barricks Conference Table, Rectangular",Northern Europe,2171.16,-2750.28,0.7,Furniture,1/30/2015
"Hewlett Wireless Fax, Laser",Oceania,4448.22,444.48,0.1,Technology,9/19/2015
